Muscle,Location,Origin,Insertion,Artery,Nerve,Action,Antagonist,O,TA
latissimus dorsi,"Torso/Upper Limb, Back, Vertebral column, right/left","spinous processes of thoracic T6-T12, thoracolumbar fascia, iliac crest and inferior 3 or 4 ribs",floor of intertubercular groove of humerus,"subscapular artery, dorsal scapular artery",thoracodorsal nerve(C6 to C8),"pulls forelimb dorsally and caudally(Extends, medially rotates and adducts humerus)","deltoid, trapezius",2,1
semispinalis thoracis,"Torso, Back, right/left",transverse processes of sixth to tenth thoracic vertebrae,spinous processes of upper four thoracic vertebrae and lower two cervical vertebrae,,posterior branch of spinal nerve,extends/rotates vertebral column,,2,1
semispinalis colli (cervicis),"Torso, Back, right/left",transverse processes of upper five or six thoracic vertebrae,"spinous processes, cervical, from axis to fifth",,posterior branch of spinal nerve,extends/rotates vertebral column,,2,1
semispinalis capitis,"Torso/Neck, Back, right/left",articular processes of C4-C6; transverse processes of C7 and T1-T7,"spinous process, occipital bone, area between superior nuchal line and inferior nuchal line",,greater occipital nerve,extends head,,2,1
multifidus lumborum,"Torso, Back, right/left","sacrum, erector spinae aponeurosis, PSIS, and iliac crest",spinous process,,posterior branch of spinal nerve,stabilizes vertebrae in local movements of vertebral column,,2,1
multifidus thoracis,"Torso, Back, right/left","sacrum, erector spinae aponeurosis, PSIS, and iliac crest",spinous process,,posterior branch of spinal nerve,stabilizes vertebrae in local movements of vertebral column,,2,1
multifidus colli,"Torso, Back, right/left","sacrum, erector spinae aponeurosis, PSIS, and iliac crest",spinous process,,posterior branch of spinal nerve,stabilizes vertebrae in local movements of vertebral column,,2,1
"rotatores, long 1-11","Torso, Back, thoracis, right/left",transverse process,spinous process,spinous process,posterior branch,,,22,1
"rotatores, short 1-11","Torso, Back, thoracis, right/left",transverse process,spinous process,spinous process,posterior branch,,,22,1
rotatores lumborum,"Torso, Back, right/left",transverse process,spinous process,spinous process,posterior branch,,,0,1
rotatores colli,"Torso, Back, right/left",transverse process,spinous process,spinous process,posterior branch,,,0,1
interspinales lumborum 1-4,"Torso, Back, right/left",spinous process,spinous process,,posterior rami of spinal nerves,"extends, flexes, and rotates vertebral column",,8,1
interspinales thoracis 1-3,"Torso, Back, right/left",spinous process,spinous process,,posterior rami of spinal nerves,"extends, flexes, and rotates vertebral column",,6,1
interspinales colli 1-6,"Torso, Back, right/left",spinous process,spinous process,,posterior rami of spinal nerves,"extends, flexes, and rotates vertebral column",,12,1
"intertransversarii, anterior colli 1-7","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,14,1
"intertransversarii, lateral posterior colli 1-7","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,14,1
"intertransversarii, medial posterior colli 1-7","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,14,1
"intertransversarii, lateral lumborum, dorsal parts 1-5","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,10,2
"intertransversarii, lateral lumborum, ventral parts 1-5","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,10,2
"intertransversarii, medial lumborum 1-5","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,10,1
"intertransversarii, thoracis 1-9","Torso, Back, right/left",transverse process,transverse process above,,posterior rami of spinal nerves,laterally flexes trunk,,18,1
splenius capitis,"Torso/Neck, Back, right/left","nuchal ligament, spinous process of C7-T6","mastoid process of temporal bone, occipital bone",??,"C3, C4","extends, rotates, and laterally flexes head",,2,1
splenius colli,"Torso, Back, right/left",spinous processes of T3-T6,"transverse processes of C1, C2, C3",,"C5, C6",,,2,1
external intercostal 1-11,"Torso, Chest (left/right)",inferior border of rib (above),superior border of rib (below),intercostal arteries,intercostal nerves,inhalation,internal,22,1
internal intercostal 1-11,"Torso, Chest (left/right)",inferior border of rib (above),superior border of rib (below),intercostal arteries,intercostal nerves,holds ribs steady,external,22,1
innermost intercostal 1-11,"Torso, Chest",inferior border of rib (above),superior border of rib (below),intercostal arteries,intercostal nerves,"elevates ribs, expiration",,22,1
subcostales 1-n,"Torso, Chest",inner surface of one rib,"inner surface of second or third rib above, near its angle",intercostal arteries,intercostal nerves,,,11,1
transversus thoracis,"Torso, Chest","costal cartilages of last 3–4 ribs, body of sternum, xiphoid process",ribs/costal cartilages 2–6,intercostal arteries,intercostal nerves,depresses ribs,,2,1
"levatores costarum, longi 1-4","Torso, Chest",transverse processes of C7 to T12 vertebrae,superior surfaces of ribs immediately inferior to preceding vertebrae,,"dorsal rami – C8, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11",assists in elevation of thoracic rib cage,,8,1
"levatores costarum, breves 1-12","Torso, Chest",transverse processes of C7 to T12 vertebrae,superior surfaces of ribs immediately inferior to preceding vertebrae,,"dorsal rami – C8, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11",assists in elevation of thoracic rib cage,,24,1
serratus posterior inferior,"Torso, Chest",vertebrae T11 – L3,inferior borders of 9th through 12th ribs,intercostal arteries,intercostal nerves,"depresses lower ribs(IX to XII), aiding in expiration",,2,1
serratus posterior superior,"Torso, Chest",nuchal ligament (or ligamentum nuchae) and spinous processes of vertebrae C7 through T3,upper borders of 2nd through 5th ribs,intercostal arteries,2nd through 5th intercostal nerves,"elevates ribs(II to V), aiding in inspiration",,2,1
"hemidiaphragm, lumbar/costal/sternal part","Torso, Chest, Left/right","septum transversum, pleuroperitoneal folds, inner abdominal wall",,"pericardiacophrenic artery, musculophrenic artery, inferior phrenic arteries",phrenic and lower intercostal nerves,breathing,,2,1
coccygeus,"Torso, Pelvis",sacrospinous ligament,coccyx,,"sacral nerves: S4, S5 or S3-S4",closes back part of pelvic outlet,,2,1
iliococcygeus,"Torso, Pelvis, Levator ani","ischial spine, posterior part of tendinous arch of pelvic fascia",coccyx and anococcygeal raphe,inferior gluteal artery,"levator ani nerve (S4)
inferior rectal nerve from pudendal nerve (S3, S4)
coccygeal plexus",supports organs in pelvic cavity,,2,1
pubococcygeus,"Torso, Pelvis, Levator ani","back surface of pubis, anterior part of obturator fascia",coccyx and sacrum,inferior gluteal artery,"levator ani nerve (S4)
inferior rectal nerve from pudendal nerve (S3, S4)
coccygeal plexus","controls urine flow, contracts during orgasm",,2,1
puboanalis (puborectalis),"Torso, Pelvis, Levator ani",lower part of pubic symphysis,-,inferior gluteal artery,"S3, S4. levator ani nerve",inhibits defecation,,2,1
puboperinealis,"Torso, Pelvis, Levator ani",?,?,?,?,?,?,2,1
puboprostaticus (males) / pubovaginalis (females),"Torso, Pelvis, Levator ani",?,?,?,?,?,?,2,1
"external anal sphincter, subcutaneous, superficial, and deep parts","Torso, Perineum",-,-,inferior rectal artery,S4 and twigs from inferior anal nerves of pudendal nerve,"keeps anal canal and anus closed, aids in expulsion of feces",-,1,1
superficial transverse perineal,"Torso, Perineum, Superficial perineal pouch",anterior surface of ischial tuberosity,central point of perineum,perineal artery,pudendal nerve,"constricts urethra (maintains urinary continence), constricts vagina (women)",,2,1
bulbospongiosus,"Torso, Perineum, Superficial perineal pouch",perineal raphe,-,perineal artery,pudendal nerve,"empties urethra (men), clenches vagina (women)",,2,1
ischiocavernosus,"Torso, Perineum, Superficial perineal pouch",ischial tuberosity,"crus of penis (men), crus of clitoris (women)",perineal artery,pudendal nerve,assists bulbospongiosus,,2,1
Deep transverse perineal,"Torso, Perineum, Deep perineal pouch",inferior ramus of ischium,its fellow of opposite side,,pudendal nerve,"constricts urethra (maintains urinary continence), constricts vagina (women)",,0-2(M),1
compressor urethrae,"Torso, Perineum, Deep perineal pouch",?,?,?,?,?,?,0-1(F),1
sphincter urethrovaginalis,"Torso, Perineum, Deep perineal pouch",?,?,?,?,?,?,0-1(F),1
external urethral sphincter,"Torso, Perineum, Deep perineal pouch","junction of inferior rami of pubis and ischium about 1.25 – 2 cm, and from neighboring fascia",its fellow of opposite side,,"perineal branch of pudendal nerve (S2, S3, S4)","constricts urethra, maintains urinary continence",,2,1
"trapezius, descending part","Upper limb, Vertebral column, Right/Left","down midline, external occipital protuberance, nuchal ligament, medial part of superior nuchal line, spinous processes of vertebrae C7-T12","at shoulders, lateral third of clavicle, acromion of scapula, spine of scapula",transverse cervical artery,"motor: accessory nerve [CNXI]
sensory: cervical nerves C3 and C4","retracts and assists in rotating scapula(lower fibers depress scapula, upper fibers elevate it and middle fibers adduct )",serratus anterior,2,3
"trapezius, transverse part","Upper limb, Vertebral column, Right/Left","down midline, external occipital protuberance, nuchal ligament, medial part of superior nuchal line, spinous processes of vertebrae C7-T12","at shoulders, lateral third of clavicle, acromion of scapula, spine of scapula",transverse cervical artery,"motor: accessory nerve [CNXI]
sensory: cervical nerves C3 and C4",retracts and elevates scapula,serratus anterior,2,3
"trapezius, ascending part","Upper limb, Vertebral column, Right/Left","down midline, external occipital protuberance, nuchal ligament, medial part of superior nuchal line, spinous processes of vertebrae C7-T12","at shoulders, lateral third of clavicle, acromion of scapula, spine of scapula",transverse cervical artery,"motor: accessory nerve [CNXI]
sensory: cervical nerves C3 and C4",retracts and elevates scapula,serratus anterior,2,3
transversus nuchae,"Upper limb, Vertebral column, Right/Left",?,?,?,?,?,?,0,1
rhomboid major,"Upper limb, Vertebral column, Right?/Left?",spinous processes of T2 to T5 vertebrae,"medial border of scapula, inferior to insertion of rhomboid minor",dorsal scapular artery,dorsal scapular nerve (C4 and C5),"retracts scapula and rotates it to depress glenoid cavity, fixes scapula to thoracic wall",serratus anterior,2,1
rhomboid minor,"Upper limb, Vertebral column, Right?/Left?",nuchal ligaments and spinous processes of C7- to T1 vertebrae,"medial border of scapula, superior to insertion of rhomboid major",dorsal scapular artery,dorsal scapular nerve (C4 and C5),"retracts (adducts) scapula and rotates it to depress glenoid cavity, fixes scapula to thoracic wall",serratus anterior,2,1
sternalis,"Upper limb,Thoracic walls, Right?/Left?",manubrium of sternum or clavicle,"xiphoid process, pectoral fascia, lower ribs, costal cartilages or rectus sheath",?,various,?,?,0,1
pectoralis major,"Upper limb,Thoracic walls, Right?/Left?","clavicular head: anterior surface of medial half of clavicle sternocostal head: anterior surface of sternum, superior six costal cartilages",intertubercular groove of humerus,pectoral branch of thoracoacromial artery,"lateral pectoral nerve, medial pectoral nerve clavicular head: C5 and C6 sternocostal head: C7, C8 and T1","adducts and medially rotates humerus, draws scapula anteriorly and inferiorly clavicular head: flexes humerus sternocostal head: extends humerus",,2,1
"pectoralis major, abdominal part","Upper limb,Thoracic walls, Right?/Left?","clavicular head: anterior surface of medial half of clavicle sternocostal head: anterior surface of sternum, superior six costal cartilages",intertubercular groove of humerus,pectoral branch of thoracoacromial artery,"lateral pectoral nerve, medial pectoral nerve clavicular head: C5 and C6 sternocostal head: C7, C8 and T1","adducts and medially rotates humerus, draws scapula anteriorly and inferiorly clavicular head: flexes humerus sternocostal head: extends humerus",,0,0
pectoralis minor,"Upper limb,Thoracic walls, Right?/Left?","3rd to 5th ribs, near their costal cartilages",medial border and superior surface of coracoid process of scapula,pectoral branch of thoracoacromial artery,"medial pectoral nerve (C8, T1)",stabilizes scapula by drawing it inferiorly and anteriorly against thoracic wall,,2,1
subclavius,"Upper limb,Thoracic walls, Right?/Left?",first rib,subclavian groove of clavicle,"thoracoacromial artery, clavicular branch",subclavian nerve,depresses clavicle,,2,1
serratus anterior,"Upper limb,Thoracic walls, Right?/Left?",fleshy slips from outer surface of upper 8 or 9 ribs,costal surface of medial margin of scapula,"lateral thoracic artery (upper part), thoracodorsal artery (lower part)","long thoracic nerve (from roots of brachial plexus C5, C6, C7)","protracts and stabilises scapula, assists in upward rotation","rhomboid major, rhomboid minor, trapezius",2,1
"deltoid, clavicular/acromial/scapular spinal parts","Upper limb, Shoulder, Right/left","clavicle, acromion, spine of scapula",deltoid tuberosity of humerus,primarily posterior circumflex humeral artery,axillary nerve,"abducts, flexes, and extends shoulder",latissimus dorsi,2,1
teres major,"Upper limb, Shoulder, Right/left",posterior surface of inferior angle of scapula,medial lip of intertubercular sulcus of humerus,"subscapular artery, circumflex scapular artery",lower subscapular nerve (segmental levels C5 and C6),internally rotates humerus,,2,1
supraspinatus,"Upper limb, Shoulder, rotator cuff, Right/left",supraspinous fossa of scapula,superior facet of greater tubercle of humerus,suprascapular artery,suprascapular nerve,abducts and stabilises humerus,"infraspinatus, teres minor, pectoralis major, latissimus dorsi",2,1
infraspinatus,"Upper limb, Shoulder, rotator cuff, Right/left",infraspinous fossa of scapula,middle facet of greater tubercle of humerus,"suprascapular artery, circumflex scapular artery",suprascapular nerve,"laterally rotates, adducts, and stabilises humerus","subscapularis, pectoralis major, latissimus dorsi",2,1
teres minor,"Upper limb, Shoulder, rotator cuff, Right/left",lateral border of scapula,inferior facet of greater tubercle of humerus,"posterior circumflex humeral artery, circumflex scapular artery",axillary nerve,laterally rotates and adducts humerus,"subscapularis, pectoralis major, latissimus dorsi",2,1
subscapularis,"Upper limb, Shoulder, rotator cuff, Right/left",subscapular fossa of scapula,lesser tubercle of humerus,subscapular artery,"upper subscapular nerve, lower subscapular nerve (C5, C6)","medially rotates humerus, stabilizes shoulder","infraspinatus, teres minor",2,1
coracobrachialis,"Upper Limb, Arm, Anterior compartment, right/left",coracoid process of scapula,medial surface of humerus,brachial artery,musculocutaneous nerve,flexes and adducts shoulder,,2,1
biceps brachii,"Upper Limb, Arm, Anterior compartment, right/left","short head: coracoid process of scapula
long head: supraglenoid tubercle","radial tuberosity, bicipital aponeurosis",brachial artery,"musculocutaneous nerve (lateral cord: C5, C6, C7)","flexes elbow, supinates forearm",triceps brachii,2,1
brachialis,"Upper Limb, Arm, Anterior compartment, right/left",anterior surface of humerus (mainly distal half),"coronoid process of ulna, tuberosity of ulna",radial recurrent artery,musculocutaneous nerve,flexes elbow,triceps brachii,2,1
triceps brachii,"Upper Limb, Arm, Posterior compartment, right/left","long head: infraglenoid tubercle of scapula 
lateral head: posterior humerus (above radial sulcus)
medial head: posterior humerus - (below radial sulcus)",olecranon of ulna,deep artery of arm,radial nerve,"extends forearm, adducts shoulder (long head).
medial head does not function at shoulder.","biceps brachii, brachialis",2,1
articularis cubiti,"Upper Limb, Arm, Posterior compartment, right/left",deep distal surface of medial head of triceps,posterior capsule of elbow joint,deep artery of arm,radial nerve,lifts capsule away from joint,?,2,1
anconeus,"Upper Limb, Arm, Posterior compartment, right/left",lateral epicondyle of humerus,"lateral surface of olecranon, superior part of posterior ulna","deep artery of arm, interosseous recurrent artery","radial nerve (C7, C8, and T1)","partly blended with triceps, extends forearm, stabilises elbow, abducts ulna during pronation",,2,1
pronator teres,"Upper limb, Forearm, Anterior compartment, Superficial, Right/left","humeral head: medial epicondyle of humerus (common flexor tendon) 
ulnar head: coronoid process of ulna",pronator tuberosity of radius,"ulnar artery, radial artery",median nerve,"pronates forearm, flexes elbow",supinator,2,1
flexor carpi radialis,"Upper limb, Forearm, Anterior compartment, Superficial, Right/left",medial epicondyle of humerus (common flexor tendon),"bases of second metacarpal, base of third metacarpal",radial artery,median nerve,flexes and abducts wrist,"extensor carpi radialis brevis, extensor carpi radialis longus",2,1
palmaris longus,"Upper limb, Forearm, Anterior compartment, Superficial, Right/left",medial epicondyle of humerus (common flexor tendon),palmar aponeurosis,ulnar artery,median nerve,flexes wrist,"extensor carpi radialis brevis, extensor carpi radialis longus, extensor carpi ulnaris",2,1
flexor carpi ulnaris,"Upper limb, Forearm, Anterior compartment, Superficial, Right/left",medial epicondyle of humerus (common flexor tendon),"pisiform, hook of hamate, base of fifth metacarpal",ulnar artery,muscular branches of ulnar nerve,flexes and adducts wrist,extensor carpi ulnaris,2,1
flexor digitorum superficialis,"Upper limb, Forearm, Anterior compartment, Superficial, Right/left","medial epicondyle of humerus (common flexor tendon), parts of radius and ulna","bases of middle phalanges 2, 3, 4, and 5",ulnar artery,median nerve,flexes fingers (primarily at proximal interphalangeal joints),extensor digitorum,2,1
pronator quadratus,"Upper limb, Forearm, Anterior compartment, Deep, Right/left",medial anterior surface of ulna,lateral anterior surface of radius,anterior interosseous artery,anterior interosseous nerve (median nerve),weakly pronates forearm,supinator,2,1
flexor digitorum profundus,"Upper limb, Forearm, Anterior compartment, Deep, Right/left",ulna,distal phalanges,anterior interosseous artery,"lateral belly: anterior interosseous nerve (median nerve)
medial belly: muscular branches of ulnar nerve","flexes wrist, flexes interphalangeal joints",extensor digitorum,2,1
flexor pollicis longus,"Upper limb, Forearm, Anterior compartment, Deep, Right/left","middle half of volar surface of radius, interosseus membrane",base of distal phalanx of thumb,anterior interosseous artery,"anterior interosseous nerve (median nerve) (C8, T1)",flexes thumb,"extensor pollicis longus, extensor pollicis brevis",2,1
extensor digitorum,"Upper limb, Forearm, Posterior compartment, Superficial, Right/left",lateral epicondyle of humerus (common extensor tendon),2nd–5th phalanges,posterior interosseous artery,"posterior interosseous nerve (C7, C8)","extends hand, extends fingers","flexor digitorum superficialis, flexor digitorum profundus",2,1
extensor digiti minimi,"Upper limb, Forearm, Posterior compartment, Superficial, Right/left",anterior surface of lateral epicondyle of humerus (common extensor tendon),"extensor expansion, located at base of proximal phalanx on dorsal side",posterior interosseous artery,"posterior interosseous nerve (C7, C8)",extends little finger at all joints,flexor digiti minimi brevis (hand),2,1
extensor carpi ulnaris,"Upper limb, Forearm, Posterior compartment, Superficial, Right/left","lateral epicondyle of humerus (common extensor tendon), ulna",5th metacarpal,ulnar artery,"posterior interosseous nerve (C7, C8)",extends and adducts wrist,flexor carpi ulnaris,2,1
brachioradialis,"Upper limb, Forearm, mobile wad, Right/left",lateral supracondylar ridge of humerus,radial styloid process (distal radius),radial recurrent artery,radial nerve,"flexes forearm, pronates forearm when supine, supinates forearm when prone",,2,1
extensor carpi radialis longus,"Upper limb, Forearm, mobile wad, Right/left",lateral supracondylar ridge of humerus,2nd metacarpal,radial artery,radial nerve,"extends wrist joint, abducts hand at wrist",flexor carpi radialis,2,1
extensor carpi radialis brevis,"Upper limb, Forearm, mobile wad, Right/left",anterior surface of lateral epicondyle of humerus (common extensor tendon),base of 3rd metacarpal,radial artery,posterior interosseus nerve,"extends wrist joint, abducts hand at wrist",flexor carpi radialis,2,1
supinator,"Upper limb, Forearm, Posterior compartment, Deep, Right/left","lateral epicondyle of humerus, supinator crest of ulna, radial collateral ligament, annular ligament",lateral proximal shaft of radius,radial recurrent artery,"posterior interosseus nerve (C7, C8)",supinates forearm,"pronator teres, pronator quadratus",2,1
extensor indicis,"Upper limb, Forearm, Posterior compartment, Deep, Right/left",ulna,index finger (extensor hood),,"posterior interosseus nerve (C7, C8)","extends index finger, wrist",,2,1
abductor pollicis longus,"Upper limb, Forearm, anatomical snuffbox, Right/left",ulna,first metacarpal,posterior interosseous artery,"posterior interosseous nerve (C7, C8)",abducts and extends thumb,adductor pollicis,2,1
extensor pollicis brevis,"Upper limb, Forearm, anatomical snuffbox, Right/left","radius, interosseous membrane of forearm",proximal phalanx of thumb,posterior interosseous artery,"posterior interosseous nerve (C7, C8)",extends thumb at metacarpophalangeal joint,"flexor pollicis longus, flexor pollicis brevis",2,1
extensor pollicis longus,"Upper limb, Forearm, anatomical snuffbox, Right/left","ulna, interosseous membrane of forearm",distal phalanx of thumb,posterior interosseous artery,"posterior interosseous nerve (C7, C8)",extends thumb (metacarpophalangeal and interphalangeal),"flexor pollicis longus, flexor pollicis brevis",2,1
opponens pollicis,"Upper limb, Hand, Lateral volar, Thenar","trapezium, transverse carpal ligament",metacarpal bone of thumb on its radial side,superficial palmar arch,median nerve,opposes thumb,,2,1
flexor pollicis brevis,"Upper limb, Hand, Lateral volar, Thenar","trapezoid, flexor retinaculum","thumb, proximal phalanx",superficial palmar arch,"median nerve, deep branch of ulnar nerve (medial head)",flexes thumb,"extensor pollicis longus, extensor pollicis brevis",2,1
abductor pollicis brevis,"Upper limb, Hand, Lateral volar, Thenar","flexor retinaculum of hand, scaphoid and trapezium",radial base of proximal phalanx of thumb and thumb extensors,superficial palmar arch,median nerve,abducts thumb,adductor pollicis,2,1
adductor pollicis,"Upper limb, Hand, Lateral volar, Thenar","transverse head: anterior body of third metacarpal
oblique head: bases of second and third metacarpals and adjacent trapezoid and capitate bones",medial side of base of proximal phalanx of thumb and ulnar sesamoid,deep palmar arch,deep branch of ulnar nerve (T1),adducts thumb at carpometacarpal joint,"abductor pollicis longus, abductor pollicis brevis",2,1
palmaris brevis,"Upper limb, Hand, Medial volar","flexor retinaculum (medial), palmar aponeurosis",palm,palmar metacarpal artery,superficial branch of ulnar nerve,wrinkle skin of palm,,2,1
abductor digiti minimi (hand),"Upper limb, Hand, Medial volar, hypothenar",pisiform,base of proximal phalanx of 5th digit on ulnar or medial side,ulnar artery,deep branch of ulnar nerve,abducts little finger,,2,1
flexor digiti minimi (hand),"Upper limb, Hand, Medial volar, hypothenar",hamate bone,little finger,ulnar artery,deep branch of ulnar nerve,flexes little finger,extensor digiti minimi,2,1
opponens digiti minimi (hand),"Upper limb, Hand, Medial volar, hypothenar","hook of hamate, flexor retinaculum",medial border of 5th metacarpal,ulnar artery,deep branch of ulnar nerve (C8 and T1),"draws 5th metacarpal anteriorly and rotates it, bringing little finger (5th digit) into opposition with thumb",,2,1
lumbricals of the hand 1-4,"Upper limb, Hand, Intermediate",flexor digitorum profundus,extensor expansion,"superficial palmar arch, common palmar digital arteries, deep palmar arch, dorsal digital artery","deep branch of ulnar nerve, median nerve","flex metacarpophalangeal joints, extend interphalangeal joints",,8,1
dorsal interossei (hand) 1-4,"Upper limb, Hand, Intermediate",metacarpals,proximal phalanges,"dorsal metacarpal artery, palmar metacarpal artery",deep branch of ulnar nerve,abduct fingers,palmar interossei,8,1
palmar interossei 1-3,"Upper limb, Hand, Intermediate",metacarpals,proximal phalanges,palmar metacarpal artery,deep branch of ulnar nerve,adduct fingers,dorsal interossei,6,1
pollical palmar interosseus,"Upper limb, Hand, Intermediate",metacarpals,proximal phalanges,palmar metacarpal artery,deep branch of ulnar nerve,adduct fingers,dorsal interossei,1.6,1
psoas major,"Lower Limb, Iliac region, iliopsoas","transverse processes, bodies and intervertebral discs of T12-L5 vertebrae",lesser trochanter of femur,iliolumbar artery,"lumbar plexus via anterior branches of L1, L2, L3",flexes and rotates laterally thigh,gluteus maximus,2,1
psoas minor,"Lower Limb, Iliac region, iliopsoas",side of T11+L1 and IV intervertebral disc,Pectineal line and iliopectineal eminence,"iliolumbar artery, lumbar arteries",L1,weakly flexes trunk flexor,gluteus maximus,0.8,1
iliacus,"Lower Limb, Iliac region, iliopsoas",iliac fossa,lesser trochanter of femur,"medial femoral circumflex artery, Iliolumbar artery","femoral nerve (L2, L3)",flexes hip,gluteus maximus,2,1
tensor fasciae latae,"Lower limb, Gluteal, Left/right",iliac crest,iliotibial tract,"primarily lateral circumflex femoral artery, superior gluteal artery","superior gluteal nerve (L4, L5)","flexes thigh, medially rotates thigh, stabilises torso",,2,1
gluteus maximus,"Lower limb, gluteal, Left/right","gluteal surface of ilium, lumbar fascia, sacrum, sacrotuberous ligament","gluteal tuberosity of femur, iliotibial tract","superior gluteal artery, inferior gluteal artery","inferior gluteal nerve (L5, S1, S2 nerve roots)","externally rotates and extends hip joint, supports extended knee through iliotibial tract, chief antigravity muscle in sitting","Iliacus, psoas major, psoas minor",2,1
gluteus medius,"Lower limb, gluteal, Left/right","gluteal surface of ilium, under gluteus maximus",greater trochanter of femur,superior gluteal artery,"superior gluteal nerve (L4, L5, S1 nerve roots)",abduction of hip; preventing adduction of hip Medial rotation of thigh,lateral rotator group,2,1
gluteus minimus,"Lower limb, gluteal, Left/right","gluteal surface of ilium, under gluteus medius",greater trochanter of femur,superior gluteal artery,"superior gluteal nerve (L4, L5, S1 nerve roots)",abduction of hip; preventing adduction of hip Medial rotation of thigh,lateral rotator group,2,1
piriformis,"Lower limb, gluteal, lateral rotator group, Left/right",sacrum,greater trochanter,"inferior gluteal artery, lateral sacral artery, superior gluteal artery",piriformis nerve (S1 and S2 nerve roots),laterally rotates (outward) thigh,,2,1
obturator externus,"Lower limb, gluteal, lateral rotator group, Left/right",obturator foramen and obturatory membrane,medial surface of greater trochanter of femur,obturator artery,"posterior branch of obturator nerve (L3, L4)","adduct thigh, rotate laterally thigh",,2,1
superior gemellus,"Lower limb, gluteal, lateral rotator group, Left/right",ischial spine,,,"nerve to obturator internus (L5, S1, S2)",,,2,1
obturator internus,"Lower limb, gluteal, lateral rotator group, Left/right","ischiopubic ramus, obturator membrane",medial surface of greater trochanter of femur,,"nerve to obturator internus (L5, S1, S2)","abducts & rotates laterally thigh, stabilises hip during walking",,2,1
inferior gemellus,"Lower limb, gluteal, lateral rotator group, Left/right",ischial tuberosity,obturator internus tendon,,"nerve to quadratus femoris (L4, L5, S1)",laterally rotates thigh,,2,1
quadratus femoris,"Lower limb, gluteal, lateral rotator group, Left/right",ischial tuberosity,intertrochanteric crest,inferior gluteal artery,"nerve to quadratus femoris (L4, L5, S1)",,,2,1
articularis genus,"Lower limb, Thigh, Anterior compartment",femur,suprapatellar bursa,femoral artery,femoral nerve,pulls suprapatellar bursa during extension of knee,,2,1
sartorius,"Lower limb, Thigh, Anterior compartment",superior to anterior superior iliac spine,medial side of upper tibia in pes anserinus,femoral artery,femoral nerve,"flexes, laterally rotates, and abducts thigh, flexes and medially rotates leg",,2,1
rectus femoris,"Lower limb, Thigh, Anterior compartment",anterior inferior iliac spine and exterior surface of bony ridge which forms iliac portion of acetabulum,patella and tibial tuberosity via patellar tendon,femoral artery,femoral nerve,knee extension; hip flexion,hamstring,2,1
vastus lateralis,"Lower limb, Thigh, Anterior compartment","greater trochanter, intertrochanteric line, and linea aspera of femur",patella and tibial tuberosity via patellar tendon,femoral artery,femoral nerve,extends knee,hamstring,2,1
vastus intermedius,"Lower limb, Thigh, Anterior compartment",anterior surface of femur,patella and tibial tuberosity via patellar tendon,femoral artery,femoral nerve,extends knee,hamstring,2,1
vastus medialis,"Lower limb, Thigh, Anterior compartment",anteromedial surface of femur,patella and tibial tuberosity via patellar tendon,femoral artery,femoral nerve,extends knee,hamstring,2,1
biceps femoris,"Lower limb, Thigh, Posterior compartment/hamstring","ischial tuberosity (long head), linea aspera of femur (short head)",head of fibula articulating with back of lateral tibial condyle,"inferior gluteal artery, perforating arteries, popliteal artery","medial (tibial) part of sciatic nerve (long head), lateral (common fibular) part of sciatic nerve (short head)","flexes knee joint, laterally rotates leg at knee (when knee is flexed), extends hip joint (long head only)",quadriceps femoris,2,1
semitendinosus,"Lower limb, Thigh, Posterior compartment/hamstring",ischial tuberosity,pes anserinus,"inferior gluteal artery, perforating arteries","sciatic nerve (tibial, L5, S1, S2)","flexes knee, extends hip, medially rotates leg at knee",quadriceps femoris,2,1
semimembranosus,"Lower limb, Thigh, Posterior compartment/hamstring",ischial tuberosity,medial surface of tibia,"profunda femoris, gluteal artery",sciatic nerve,"flexes knee, extends hip, medially rotates leg at knee",quadriceps femoris,2,1
gracilis,"Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",inferior pubic ramus,tibia (pes anserinus),obturator artery,anterior branch of obturator nerve,"adducts hip, flexes hip, medially rotates knee","gluteus medius, gluteus minimus",2,1
pectineus,"Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",superior pubic ramus,"lesser trochanter, linea aspera",obturator artery,femoral nerve and obturator nerve (medial compartment),adducts and flexes hip,"gluteus medius, gluteus minimus",2,1
adductor brevis,"Lower limb, Thigh/Hip, Medial compartment (adductor muscles)",anterior surface of inferior pubic ramus,lesser trochanter and linea aspera of femur,obturator artery,anterior branch of obturator nerve,adducts hip,"gluteus medius, gluteus minimus",2,1
